"","di_id","bundle","year","value"
"238","who","mixed-project-aid","2016",522402787
"239","AE","non-transfer","2016",106267533
"240","AT","non-transfer","2016",784311173
"241","AU","non-transfer","2016",395525074
"242","BE","non-transfer","2016",582347003
"243","BG","non-transfer","2016",8527780
"244","CA","non-transfer","2016",677852909
"245","CH","non-transfer","2016",911774600
"246","CZ","non-transfer","2016",28296489
"247","DE","non-transfer","2016",8243549760
"248","DK","non-transfer","2016",579163679
"249","EE","non-transfer","2016",4553404
"250","ES","non-transfer","2016",2470503217
"251","EU","non-transfer","2016",987141590
"252","FI","non-transfer","2016",188477125
"253","FR","non-transfer","2016",1966543256
"254","GB","non-transfer","2016",1508209985
"255","GR","non-transfer","2016",150002140
"256","HR","non-transfer","2016",291978
"257","HU","non-transfer","2016",35130880
"258","IE","non-transfer","2016",39585714
"259","IS","non-transfer","2016",16830701
"260","IT","non-transfer","2016",1821750628
"261","JP","non-transfer","2016",692150895
"262","KR","non-transfer","2016",183825544
"263","LT","non-transfer","2016",6417363
"264","LU","non-transfer","2016",21817139
"265","LV","non-transfer","2016",2336184
"266","MT","non-transfer","2016",6316755
"267","NL","non-transfer","2016",887513134
"268","NO","non-transfer","2016",1130404082
"269","NZ","non-transfer","2016",95360102
"270","PL","non-transfer","2016",40350476
"271","PT","non-transfer","2016",47701965
"272","RO","non-transfer","2016",25565554
"273","RU","non-transfer","2016",439266050
"274","SE","non-transfer","2016",1088455046
"275","SI","non-transfer","2016",17824916
"276","SK","non-transfer","2016",5423970
"277","US","non-transfer","2016",3967397490
"278","afdb","non-transfer","2016",147429400
"279","asdb-special-funds","non-transfer","2016",6071993
"280","gavi","non-transfer","2016",144201970
"281","idb-special-fund","non-transfer","2016",700747400
"282","ifad","non-transfer","2016",18250964
"283","international-labour-organisation","non-transfer","2016",31759278
"284","ofid","non-transfer","2016",12107012
"285","unep","non-transfer","2016",17585000
"286","unicef","non-transfer","2016",320687000
"287","unrwa","non-transfer","2016",99525870
"288","AE","technical-ooperation","2016",8765699
"289","AT","technical-ooperation","2016",71506830
"290","AU","technical-ooperation","2016",760475970
"291","BE","technical-ooperation","2016",194696231
"292","CA","technical-ooperation","2016",774993768
"293","CH","technical-ooperation","2016",240314677
"294","CZ","technical-ooperation","2016",12402033
"295","DE","technical-ooperation","2016",3254272992
"296","DK","technical-ooperation","2016",35775608
"297","EE","technical-ooperation","2016",2074390
"298","ES","technical-ooperation","2016",90053734
"299","EU","technical-ooperation","2016",1927529080
"300","FI","technical-ooperation","2016",133258779
"301","FR","technical-ooperation","2016",769379500
"302","GB","technical-ooperation","2016",2823564282
"303","GR","technical-ooperation","2016",1152920
"304","HU","technical-ooperation","2016",349791
