"","di_id","bundle","year","value"
"244","BE","non-transfer","2016",589623296
"245","BG","non-transfer","2016",8470000
"246","CA","non-transfer","2016",656835028
"247","CH","non-transfer","2016",883014527
"248","CZ","non-transfer","2016",28724336
"249","DE","non-transfer","2016",8331968989
"250","DK","non-transfer","2016",579463116
"251","EE","non-transfer","2016",4616835
"252","ES","non-transfer","2016",2478718845
"253","EU","non-transfer","2016",994181033
"254","FI","non-transfer","2016",190189682
"255","FR","non-transfer","2016",1975659649
"256","GB","non-transfer","2016",1351946895
"257","GR","non-transfer","2016",149687665
"258","HR","non-transfer","2016",290000
"259","HU","non-transfer","2016",34908160
"260","IE","non-transfer","2016",39519931
"261","IS","non-transfer","2016",18994327
"262","IT","non-transfer","2016",1838130104
"263","JP","non-transfer","2016",772732375
"264","KR","non-transfer","2016",182463256
"265","LT","non-transfer","2016",6411443
"266","LU","non-transfer","2016",21428402
"267","LV","non-transfer","2016",2361268
"268","MT","non-transfer","2016",6273963
"269","NL","non-transfer","2016",889725174
"270","NO","non-transfer","2016",1067222661
"271","NZ","non-transfer","2016",97043398
"272","PL","non-transfer","2016",38709380
"273","PT","non-transfer","2016",48281726
"274","RO","non-transfer","2016",25392307
"275","RU","non-transfer","2016",424936320
"276","SE","non-transfer","2016",1085402907
"277","SI","non-transfer","2016",17909825
"278","SK","non-transfer","2016",5394510
"279","US","non-transfer","2016",4018658746
"280","afdb","non-transfer","2016",146430400
"281","asdb-special-funds","non-transfer","2016",6030860
"282","gavi","non-transfer","2016",143224980
"283","idb-special-fund","non-transfer","2016",6.96e+08
"284","ifad","non-transfer","2016",18127300
"285","international-labour-organisation","non-transfer","2016",31544090
"286","ofid","non-transfer","2016",12025020
"287","unep","non-transfer","2016",17465900
"288","unicef","non-transfer","2016",318515000
"289","unrwa","non-transfer","2016",98851620
"290","world-tourism-organisation","non-transfer","2016",1603
"291","AE","technical-ooperation","2016",8706310
"292","AT","technical-ooperation","2016",72288887
"293","AU","technical-ooperation","2016",754248286
"294","BE","technical-ooperation","2016",197128967
"295","CA","technical-ooperation","2016",750964196
"296","CH","technical-ooperation","2016",232734391
"297","CZ","technical-ooperation","2016",12589544
"298","DE","technical-ooperation","2016",3289178681
"299","DK","technical-ooperation","2016",35794122
"300","EE","technical-ooperation","2016",2103284
"301","ES","technical-ooperation","2016",90353247
"302","EU","technical-ooperation","2016",1941273227
"303","FI","technical-ooperation","2016",134469500
"304","FR","technical-ooperation","2016",772945829
"305","GB","technical-ooperation","2016",2531019106
"306","GR","technical-ooperation","2016",1150505
"307","HU","technical-ooperation","2016",347580
"308","IE","technical-ooperation","2016",11308002
"309","IS","technical-ooperation","2016",1543205
"310","IT","technical-ooperation","2016",47886383
"311","JP","technical-ooperation","2016",2063723583
"312","KR","technical-ooperation","2016",399471815
"313","KW","technical-ooperation","2016",49988736
"314","LT","technical-ooperation","2016",2073771
"315","LU","technical-ooperation","2016",98143421
"316","LV","technical-ooperation","2016",182450
"317","NL","technical-ooperation","2016",423350022
"318","NO","technical-ooperation","2016",218792653
"319","NZ","technical-ooperation","2016",56752510
"320","PL","technical-ooperation","2016",15463346
"321","PT","technical-ooperation","2016",45356818
"322","RO","technical-ooperation","2016",1712499
"323","SE","technical-ooperation","2016",376707471
"324","SI","technical-ooperation","2016",3593805
"325","SK","technical-ooperation","2016",4632360
"326","TR","technical-ooperation","2016",153470000
"327","US","technical-ooperation","2016",2621785676
"328","afdb","technical-ooperation","2016",88580
"329","afdf","technical-ooperation","2016",655460
"330","asdb-special-funds","technical-ooperation","2016",151275690
"331","ceb","technical-ooperation","2016",882923
"332","cif","technical-ooperation","2016",5130710
"333","gggi","technical-ooperation","2016",353106
"334","global-fund","technical-ooperation","2016",13626250
"335","ida","technical-ooperation","2016",45021767
"336","idb-special-fund","technical-ooperation","2016",159167530
"337","international-labour-organisation","technical-ooperation","2016",20383600
"338","nordic-dev-fund","technical-ooperation","2016",525268
"339","ofid","technical-ooperation","2016",4712750
"340","undp","technical-ooperation","2016",6119895
"341","unicef","technical-ooperation","2016",8082405
"342","unpbf","technical-ooperation","2016",657830
"343","wfp","technical-ooperation","2016",126461
"344","world-tourism-organisation","technical-ooperation","2016",1406345
"345","dac-countries-total","cash-grant","2016",25910419320
"346","dac-countries-total","cash-loan-equity","2016",17284198407
"347","dac-countries-total","commodities-food","2016",5138509526
"348","dac-countries-total","gpgs-nngos","2016",1250925635
"349","dac-countries-total","mixed-project-aid","2016",22090431091
"350","dac-countries-total","non-transfer","2016",28577532106
"351","dac-countries-total","technical-ooperation","2016",15263723911
