"di_id","wb_wdi_country_code","year","value"
"AS","ASM",1995,
"AS","ASM",1994,
"AS","ASM",1961,
"AS","ASM",1960,
"AS","ASM",2014,
"AS","ASM",2001,
"AS","ASM",2000,
"AS","ASM",1997,
"AS","ASM",1996,
"AS","ASM",1999,
"AS","ASM",1998,
"AS","ASM",1993,
"AS","ASM",1979,105600000
"AS","ASM",1991,
"AS","ASM",1990,
"AS","ASM",1989,
"AS","ASM",1988,
"AS","ASM",1987,
"AS","ASM",1986,
"AS","ASM",1985,189700000
"AS","ASM",1984,178200000
"AS","ASM",2002,
"AS","ASM",1982,151100000
"AS","ASM",1981,139300000
"AS","ASM",1980,127200000
"AS","ASM",1975,67700000
"AS","ASM",1974,7.7e+07
"AS","ASM",1973,75600000
"AS","ASM",1976,68500000
"AS","ASM",1971,
"AS","ASM",1970,
"AS","ASM",1983,1.66e+08
"AS","ASM",1972,
"AG","ATG",2010,1120979666.66667
"AG","ATG",2009,1173432703.7037
"AG","ATG",2013,1162011814.81481
"AG","ATG",1961,
"AG","ATG",2011,1102571925.92593
"AG","ATG",2012,1160321814.81481
"AG","ATG",2007,1258733925.92593
"AG","ATG",1960,
"AG","ATG",1986,254406814.814815
"AG","ATG",2008,1307347000
"AG","ATG",2003,816946814.814815
"AG","ATG",2006,1110262111.11111
"AG","ATG",2005,980151074.074074
"AG","ATG",2000,785639888.888889
"AG","ATG",1999,742753740.740741
"AG","ATG",1998,706823555.555556
"AG","ATG",1997,658461555.555555
"AG","ATG",1996,607512111.111111
"AG","ATG",1995,550421481.481481
"AG","ATG",1994,562870333.333333
"AG","ATG",1993,512235740.740741
"AG","ATG",1992,469614481.481481
"AG","ATG",2004,874491814.814815
"AG","ATG",2017,1492655074.07407
"AG","ATG",2002,773168629.62963
"AG","ATG",2001,775952111.111111
"AG","ATG",1964,
"AG","ATG",1963,
"AG","ATG",1962,
"AG","ATG",1989,393313296.296296
"AG","ATG",1988,367011814.814815
"AG","ATG",1987,297215592.592593
"AG","ATG",1978,88694148.1481481
"AG","ATG",1985,238109111.111111
"AG","ATG",1984,207972851.851852
"AG","ATG",1983,181144111.111111
"AG","ATG",1982,160665592.592593
"AG","ATG",1981,145952851.851852
"AG","ATG",1980,130245851.851852
"AG","ATG",1979,110894777.777778
"AG","ATG",1991,449506333.333333
"AG","ATG",1990,414143148.148148
"AG","ATG",1977,78311555.5555556
"AG","ATG",1976,
"AG","ATG",1975,
"AG","ATG",1974,
"AG","ATG",1973,
"AG","ATG",1972,
"AG","ATG",1971,
"AG","ATG",1970,
"AG","ATG",1969,
"AG","ATG",1968,
"AG","ATG",2016,1423360296.2963
