"","di_id","region_name","aid_type","year","value"
"188","TR","south-america","bilateral",2016,4374227.12933754
"189","TR","far-east-asia","bilateral",2016,13390304.9096868
"190","TR","south-central-asia","bilateral",2016,191484360.276836
"191","TR","europe","bilateral",2016,190410000
"192","TR","middle-east","bilateral",2016,5943315334.81348
"193","TR","oceania","bilateral",2016,5e+05
"194","SI","unspecified","bilateral",2016,11780000
"195","SI","north-of-sahara","bilateral",2016,91666.6666666667
"196","SI","south-of-sahara","bilateral",2016,458333.333333333
"197","SI","north-central-america","bilateral",2016,60000
"198","SI","south-america","bilateral",2016,70000
"199","SI","south-central-asia","bilateral",2016,1e+05
"200","SI","europe","bilateral",2016,14650000
"201","SI","middle-east","bilateral",2016,670000
"202","HR","unspecified","bilateral",2016,3470000
"203","CZ","unspecified","bilateral",2016,22540000
"204","CZ","north-of-sahara","bilateral",2016,265880.452342488
"205","CZ","south-of-sahara","bilateral",2016,6064119.54765751
"206","CZ","north-central-america","bilateral",2016,260000
"207","CZ","south-america","bilateral",2016,530000
"208","CZ","far-east-asia","bilateral",2016,4e+06
"209","CZ","south-central-asia","bilateral",2016,7540000
"210","CZ","europe","bilateral",2016,18960000
"211","CZ","middle-east","bilateral",2016,11230000
"212","SK","unspecified","bilateral",2016,15210000
"213","SK","north-of-sahara","bilateral",2016,10000
"214","SK","south-of-sahara","bilateral",2016,2440000
"215","SK","north-central-america","bilateral",2016,440000
"216","SK","south-america","bilateral",2016,110000
"217","SK","far-east-asia","bilateral",2016,2e+05
"218","SK","south-central-asia","bilateral",2016,820000
"219","SK","europe","bilateral",2016,5710000
"220","SK","middle-east","bilateral",2016,760000
"221","LI","unspecified","bilateral",2016,18860000
"222","BG","unspecified","bilateral",2016,8470000
"223","BG","north-of-sahara","bilateral",2016,60000
"224","BG","south-america","bilateral",2016,30000
"225","BG","far-east-asia","bilateral",2016,30000
"226","BG","south-central-asia","bilateral",2016,350000
"227","BG","europe","bilateral",2016,2800000
"228","BG","middle-east","bilateral",2016,470000
"229","HU","unspecified","bilateral",2016,11160000
"230","HU","north-of-sahara","bilateral",2016,2848893.2038835
"231","HU","south-of-sahara","bilateral",2016,3421106.7961165
"232","HU","north-central-america","bilateral",2016,120000
"233","HU","south-america","bilateral",2016,780000
"234","HU","far-east-asia","bilateral",2016,8870000
"235","HU","south-central-asia","bilateral",2016,5850000
"236","HU","europe","bilateral",2016,16910000
"237","HU","middle-east","bilateral",2016,4820000
"238","PL","unspecified","bilateral",2016,9290000
"239","PL","north-of-sahara","bilateral",2016,192921.989333995
"240","PL","south-of-sahara","bilateral",2016,81677078.010666
"241","PL","north-central-america","bilateral",2016,50000
"242","PL","south-america","bilateral",2016,260000
"243","PL","far-east-asia","bilateral",2016,1800000
"244","PL","south-central-asia","bilateral",2016,4180000
"245","PL","europe","bilateral",2016,64640000
"246","PL","middle-east","bilateral",2016,12410000
