"di_id","donor_code","region_name","aid_type","year","value"
"ES",50,"europe","bilateral",2016,73910000
"ES",50,"middle-east","bilateral",2016,84992746.1938716
"ES",50,"oceania","bilateral",2016,20000
"TR",55,"unspecified","bilateral",2016,198100000
"TR",55,"north-of-sahara","bilateral",2016,19532147.7048821
"TR",55,"south-of-sahara","bilateral",2016,124287852.295118
"TR",55,"north-central-america","bilateral",2016,2135772.87066246
"TR",55,"south-america","bilateral",2016,4374227.12933754
"TR",55,"far-east-asia","bilateral",2016,13390304.9096868
"TR",55,"south-central-asia","bilateral",2016,191484360.276836
"TR",55,"europe","bilateral",2016,190410000
"TR",55,"middle-east","bilateral",2016,5943315334.81348
"TR",55,"oceania","bilateral",2016,500000
"SI",61,"unspecified","bilateral",2016,11780000
"SI",61,"north-of-sahara","bilateral",2016,91666.6666666667
"SI",61,"south-of-sahara","bilateral",2016,458333.333333333
"SI",61,"north-central-america","bilateral",2016,60000
"SI",61,"south-america","bilateral",2016,70000
"SI",61,"south-central-asia","bilateral",2016,100000
"SI",61,"europe","bilateral",2016,14650000
"SI",61,"middle-east","bilateral",2016,670000
"HR",62,"unspecified","bilateral",2016,3470000
"CZ",68,"unspecified","bilateral",2016,22540000
"CZ",68,"north-of-sahara","bilateral",2016,265880.452342488
"CZ",68,"south-of-sahara","bilateral",2016,6064119.54765751
"CZ",68,"north-central-america","bilateral",2016,260000
"CZ",68,"south-america","bilateral",2016,530000
"CZ",68,"far-east-asia","bilateral",2016,4000000
"CZ",68,"south-central-asia","bilateral",2016,7540000
"CZ",68,"europe","bilateral",2016,18960000
"CZ",68,"middle-east","bilateral",2016,11230000
"SK",69,"unspecified","bilateral",2016,15210000
"SK",69,"north-of-sahara","bilateral",2016,10000
"SK",69,"south-of-sahara","bilateral",2016,2440000
"SK",69,"north-central-america","bilateral",2016,440000
"SK",69,"south-america","bilateral",2016,110000
"SK",69,"far-east-asia","bilateral",2016,200000
"SK",69,"south-central-asia","bilateral",2016,820000
"SK",69,"europe","bilateral",2016,5710000
"SK",69,"middle-east","bilateral",2016,760000
"LI",70,"unspecified","bilateral",2016,18860000
"BG",72,"unspecified","bilateral",2016,8470000
"BG",72,"north-of-sahara","bilateral",2016,60000
"BG",72,"south-america","bilateral",2016,30000
"BG",72,"far-east-asia","bilateral",2016,30000
"BG",72,"south-central-asia","bilateral",2016,350000
"BG",72,"europe","bilateral",2016,2800000
"BG",72,"middle-east","bilateral",2016,470000
"HU",75,"unspecified","bilateral",2016,11160000
"HU",75,"north-of-sahara","bilateral",2016,2848893.2038835
"HU",75,"south-of-sahara","bilateral",2016,3421106.7961165
"HU",75,"north-central-america","bilateral",2016,120000
"HU",75,"south-america","bilateral",2016,780000
"HU",75,"far-east-asia","bilateral",2016,8870000
"HU",75,"south-central-asia","bilateral",2016,5850000
"HU",75,"europe","bilateral",2016,16910000
"HU",75,"middle-east","bilateral",2016,4820000
"PL",76,"unspecified","bilateral",2016,9290000
"PL",76,"north-of-sahara","bilateral",2016,192921.989333995
"PL",76,"south-of-sahara","bilateral",2016,81677078.010666
"PL",76,"north-central-america","bilateral",2016,50000
"PL",76,"south-america","bilateral",2016,260000
