di_id,region_name,aid_type,year,value,,,
RU,north-central-america,multilateral,2016,21672450.86,,,
SE,north-central-america,multilateral,2016,40949652.12,,,
SI,north-central-america,multilateral,2016,1729420.45,,,
SK,north-central-america,multilateral,2016,2669046.877,,,
TH,north-central-america,multilateral,2016,7871266.754,,,
TR,north-central-america,multilateral,2016,16392509.09,,,
TW,north-central-america,multilateral,2016,1297636.234,,,
US,north-central-america,multilateral,2016,180873775.9,,,
all-donors-total,north-central-america,multilateral,2016,1472373711,,,
dac-countries-total,north-central-america,multilateral,2016,1393504887,,,
dac-eu-members-and-ec-total,north-central-america,multilateral,2016,0,,,
dac-eu-members-total,north-central-america,multilateral,2016,0,,,
g7-countries-total,north-central-america,multilateral,2016,0,,,
multilateral-total,north-central-america,multilateral,2016,0,,,
non-dac-countries-total,north-central-america,multilateral,2016,69504756.98,,,
AE,north-of-sahara,multilateral,2016,809822.5898,,,
AT,north-of-sahara,multilateral,2016,34428881.92,,,
AU,north-of-sahara,multilateral,2016,12933628.52,,,
AZ,north-of-sahara,multilateral,2016,0,,,
BE,north-of-sahara,multilateral,2016,60754027.91,,,
BG,north-of-sahara,multilateral,2016,3994511.509,,,
CA,north-of-sahara,multilateral,2016,28339630.92,,,
CH,north-of-sahara,multilateral,2016,10687794.03,,,
CZ,north-of-sahara,multilateral,2016,16379470.62,,,
DE,north-of-sahara,multilateral,2016,309837064.2,,,
DK,north-of-sahara,multilateral,2016,30642448.16,,,
EE,north-of-sahara,multilateral,2016,2058509.421,,,
ES,north-of-sahara,multilateral,2016,114524014.2,,,
EU,north-of-sahara,multilateral,2016,14491289.89,,,
FI,north-of-sahara,multilateral,2016,23024583.1,,,
FR,north-of-sahara,multilateral,2016,281037759.8,,,
GB,north-of-sahara,multilateral,2016,299328994.5,,,
GR,north-of-sahara,multilateral,2016,19146850.58,,,
HR,north-of-sahara,multilateral,2016,3387835.338,,,
HU,north-of-sahara,multilateral,2016,11806802.56,,,
IE,north-of-sahara,multilateral,2016,22367177.35,,,
IL,north-of-sahara,multilateral,2016,379714.0178,,,
IS,north-of-sahara,multilateral,2016,87236.22066,,,
IT,north-of-sahara,multilateral,2016,183742690.2,,,
JP,north-of-sahara,multilateral,2016,40795860.71,,,
KR,north-of-sahara,multilateral,2016,4058461.587,,,
KW,north-of-sahara,multilateral,2016,0,,,
KZ,north-of-sahara,multilateral,2016,173631.2618,,,
LI,north-of-sahara,multilateral,2016,305078.9491,,,
LT,north-of-sahara,multilateral,2016,3728120.605,,,
LU,north-of-sahara,multilateral,2016,4447311.953,,,
LV,north-of-sahara,multilateral,2016,2281109.964,,,
MT,north-of-sahara,multilateral,2016,905096.3673,,,
NL,north-of-sahara,multilateral,2016,68277475.42,,,
NO,north-of-sahara,multilateral,2016,21875976.69,,,
NZ,north-of-sahara,multilateral,2016,1658578.984,,,
PL,north-of-sahara,multilateral,2016,39865137.32,,,
PT,north-of-sahara,multilateral,2016,18328680.31,,,
RO,north-of-sahara,multilateral,2016,13757746.52,,,
RU,north-of-sahara,multilateral,2016,3892771.919,,,
SE,north-of-sahara,multilateral,2016,45984142.04,,,
SI,north-of-sahara,multilateral,2016,4261059.785,,,
SK,north-of-sahara,multilateral,2016,7134967.144,,,
TH,north-of-sahara,multilateral,2016,424810.1991,,,
TR,north-of-sahara,multilateral,2016,1190328.96,,,
TW,north-of-sahara,multilateral,2016,2017474.802,,,
US,north-of-sahara,multilateral,2016,174500764.6,,,
all-donors-total,north-of-sahara,multilateral,2016,1944409242,,,
dac-countries-total,north-of-sahara,multilateral,2016,1890257471,,,
dac-eu-members-and-ec-total,north-of-sahara,multilateral,2016,0,,,
dac-eu-members-total,north-of-sahara,multilateral,2016,0,,,
g7-countries-total,north-of-sahara,multilateral,2016,0,,,
multilateral-total,north-of-sahara,multilateral,2016,0,,,
non-dac-countries-total,north-of-sahara,multilateral,2016,39660480.63,,,
AE,oceania,multilateral,2016,644601.1433,,,
AT,oceania,multilateral,2016,4678419.63,,,
AU,oceania,multilateral,2016,10498322,,,
AZ,oceania,multilateral,2016,0,,,
BE,oceania,multilateral,2016,5631649.449,,,
BG,oceania,multilateral,2016,205399.0092,,,
CA,oceania,multilateral,2016,11231725.68,,,
CH,oceania,multilateral,2016,7815905.365,,,
CZ,oceania,multilateral,2016,827965.3459,,,
DE,oceania,multilateral,2016,34840871.37,,,
DK,oceania,multilateral,2016,5814336.477,,,
EE,oceania,multilateral,2016,106159.2243,,,
ES,oceania,multilateral,2016,9616764.935,,,
EU,oceania,multilateral,2016,1661833.974,,,
FI,oceania,multilateral,2016,2956635.386,,,
FR,oceania,multilateral,2016,27150883.31,,,
GB,oceania,multilateral,2016,45782199.98,,,
GR,oceania,multilateral,2016,869210.9242,,,
HR,oceania,multilateral,2016,145793.0386,,,
HU,oceania,multilateral,2016,571322.4191,,,
IE,oceania,multilateral,2016,2192945.566,,,
IL,oceania,multilateral,2016,1262784.892,,,
IS,oceania,multilateral,2016,89980.03222,,,
IT,oceania,multilateral,2016,15997288.64,,,
JP,oceania,multilateral,2016,31980149.51,,,
KR,oceania,multilateral,2016,7666916.905,,,
KW,oceania,multilateral,2016,0,,,
KZ,oceania,multilateral,2016,86495.20897,,,
LI,oceania,multilateral,2016,34469.54331,,,
LT,oceania,multilateral,2016,166064.5931,,,
LU,oceania,multilateral,2016,838087.9148,,,
LV,oceania,multilateral,2016,111683.2635,,,
MT,oceania,multilateral,2016,41434.28272,,,
NL,oceania,multilateral,2016,12955553.86,,,
NO,oceania,multilateral,2016,7889783.885,,,
NZ,oceania,multilateral,2016,744827.995,,,
PL,oceania,multilateral,2016,2607557.862,,,
PT,oceania,multilateral,2016,1088517.786,,,
RO,oceania,multilateral,2016,633008.1407,,,
RU,oceania,multilateral,2016,5145024.469,,,
SE,oceania,multilateral,2016,11117514.19,,,
SI,oceania,multilateral,2016,269669.0953,,,
SK,oceania,multilateral,2016,342314.6344,,,
TH,oceania,multilateral,2016,1584098.046,,,
TR,oceania,multilateral,2016,3413137.849,,,
TW,oceania,multilateral,2016,227945.7015,,,
US,oceania,multilateral,2016,46434015.82,,,
all-donors-total,oceania,multilateral,2016,326363825.1,,,
dac-countries-total,oceania,multilateral,2016,310501336,,,
dac-eu-members-and-ec-total,oceania,multilateral,2016,0,,,
dac-eu-members-total,oceania,multilateral,2016,0,,,
g7-countries-total,oceania,multilateral,2016,0,,,
multilateral-total,oceania,multilateral,2016,0,,,
non-dac-countries-total,oceania,multilateral,2016,14200655.12,,,
