"id","year","budget_type","conditional_grants_percent"
"d18989",2015,"actual",8.10015438419329
"d18989",2016,"actual",7.46098295010477
"d18989",2017,"actual",8.94688887487227
"d18990",2013,"actual",6.31349549722783
"d18990",2014,"actual",0.671456726382154
"d18990",2015,"actual",2.84961090758607
"d18990",2016,"actual",4.71093384569753
"d18990",2017,"actual",6.7459486265514
"d18991",2013,"actual",7.24180077408841
"d18991",2014,"actual",0.332024091767428
"d18991",2015,"actual",2.74303504899793
"d18991",2016,"actual",4.57706144256092
"d18991",2017,"actual",4.55059689302641
